seq_id,filename,subject_id,test_type,run,path,exists,ok,ndim,shape0_T,shape1_D,dtype,nan_count,inf_count,min_val,max_val,note
DCM_30_FastWalkData_4_clip,HSMR-DCM_30_FastWalkData_4_clip.npy,30,FastWalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_FastWalkData_4_clip.npy,True,True,2,107,46,float32,0,0,-3.138685941696167,3.1409831047058105,
DCM_30_FastWalkData_5_clip,HSMR-DCM_30_FastWalkData_5_clip.npy,30,FastWalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_FastWalkData_5_clip.npy,True,True,2,109,46,float32,0,0,-3.141284942626953,3.14032244682312,
DCM_30_WalkData_1_clip,HSMR-DCM_30_WalkData_1_clip.npy,30,WalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_WalkData_1_clip.npy,True,True,2,150,46,float32,0,0,-3.14077091217041,3.1389968395233154,
DCM_30_WalkData_2_clip,HSMR-DCM_30_WalkData_2_clip.npy,30,WalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_WalkData_2_clip.npy,True,True,2,126,46,float32,0,0,-3.139040470123291,3.1414601802825928,
DCM_30_WalkData_3_clip,HSMR-DCM_30_WalkData_3_clip.npy,30,WalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_WalkData_3_clip.npy,True,True,2,138,46,float32,0,0,-3.1414847373962402,3.140491247177124,
DCM_30_WalkData_4_clip,HSMR-DCM_30_WalkData_4_clip.npy,30,WalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_WalkData_4_clip.npy,True,True,2,167,46,float32,0,0,-3.141157388687134,3.141284704208374,
DCM_30_WalkData_5_clip,HSMR-DCM_30_WalkData_5_clip.npy,30,WalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_30_WalkData_5_clip.npy,True,True,2,143,46,float32,0,0,-3.141242504119873,3.140498399734497,
DCM_33_FastWalkData_1_clip,HSMR-DCM_33_FastWalkData_1_clip.npy,33,FastWalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_FastWalkData_1_clip.npy,True,True,2,82,46,float32,0,0,-3.13871693611145,3.1405818462371826,
DCM_33_FastWalkData_2_clip,HSMR-DCM_33_FastWalkData_2_clip.npy,33,FastWalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_FastWalkData_2_clip.npy,True,True,2,90,46,float32,0,0,-3.139519453048706,3.1415603160858154,
DCM_33_FastWalkData_3_clip,HSMR-DCM_33_FastWalkData_3_clip.npy,33,FastWalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_FastWalkData_3_clip.npy,True,True,2,85,46,float32,0,0,-3.1405322551727295,3.140204668045044,
DCM_33_FastWalkData_4_clip,HSMR-DCM_33_FastWalkData_4_clip.npy,33,FastWalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_FastWalkData_4_clip.npy,True,True,2,88,46,float32,0,0,-3.1407389640808105,3.1406147480010986,
DCM_33_FastWalkData_5_clip,HSMR-DCM_33_FastWalkData_5_clip.npy,33,FastWalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_FastWalkData_5_clip.npy,True,True,2,91,46,float32,0,0,-3.1414287090301514,3.1415016651153564,
DCM_33_WalkData_1_clip,HSMR-DCM_33_WalkData_1_clip.npy,33,WalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_WalkData_1_clip.npy,True,True,2,161,46,float32,0,0,-3.1279428005218506,2.5020060539245605,
DCM_33_WalkData_2_clip,HSMR-DCM_33_WalkData_2_clip.npy,33,WalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_WalkData_2_clip.npy,True,True,2,111,46,float32,0,0,-3.1332595348358154,2.39587140083313,
DCM_33_WalkData_4_clip,HSMR-DCM_33_WalkData_4_clip.npy,33,WalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_WalkData_4_clip.npy,True,True,2,135,46,float32,0,0,-3.1414246559143066,3.141205310821533,
DCM_33_WalkData_5_clip,HSMR-DCM_33_WalkData_5_clip.npy,33,WalkData,5,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_33_WalkData_5_clip.npy,True,True,2,128,46,float32,0,0,-3.139850378036499,3.1377716064453125,
DCM_36_FastWalkData_3_clip,HSMR-DCM_36_FastWalkData_3_clip.npy,36,FastWalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_36_FastWalkData_3_clip.npy,True,True,2,128,46,float32,0,0,-3.140742778778076,3.14009952545166,
DCM_36_FastWalkData_4_clip,HSMR-DCM_36_FastWalkData_4_clip.npy,36,FastWalkData,4,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_36_FastWalkData_4_clip.npy,True,True,2,126,46,float32,0,0,-3.1397714614868164,3.139190435409546,
DCM_36_WalkData_1_clip,HSMR-DCM_36_WalkData_1_clip.npy,36,WalkData,1,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_36_WalkData_1_clip.npy,True,True,2,168,46,float32,0,0,-3.140456199645996,3.1415114402770996,
DCM_36_WalkData_2_clip,HSMR-DCM_36_WalkData_2_clip.npy,36,WalkData,2,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_36_WalkData_2_clip.npy,True,True,2,154,46,float32,0,0,-3.138526201248169,3.1408450603485107,
DCM_36_WalkData_3_clip,HSMR-DCM_36_WalkData_3_clip.npy,36,WalkData,3,C:\Users\1nkas-Strix-4090-ll\Desktop\InternVL\GAVD-HSMR-dcm-oneperson-filtered\HSMR-DCM_36_WalkData_3_clip.npy,True,True,2,131,46,float32,0,0,-3.1413493156433105,3.1402907371520996,
